Date,Time,Fold,Epoch,Training Loss
2024-12-18,13:22:26,6,7,0.025901601827320177
2024-12-18,13:23:21,6,8,0.025805753853627267
2024-12-18,13:24:17,6,9,0.02509546380005576
2024-12-18,13:25:09,6,10,0.024624022305106304
2024-12-18,13:26:01,6,11,0.023765849788175974
2024-12-18,13:26:50,6,12,0.02352970849850963
2024-12-18,13:27:37,6,13,0.022895669436396242
2024-12-18,13:28:31,6,14,0.023574646514419845
2024-12-18,13:29:25,6,15,0.022441331173422153
2024-12-18,13:30:19,6,16,0.022392575499513383
2024-12-18,13:31:16,6,17,0.022529699603656913
2024-12-18,13:32:12,6,18,0.02179353828165912
2024-12-18,13:33:03,6,19,0.02162018022042371
2024-12-18,13:33:52,6,20,0.021554303799891008
2024-12-18,13:35:06,7,1,0.06018257706485776
2024-12-18,13:35:59,7,2,0.03697611058050415
2024-12-18,13:36:48,7,3,0.033004214343330965
2024-12-18,13:37:41,7,4,0.0309900273597544
2024-12-18,13:38:33,7,5,0.028272803008614452
2024-12-18,13:39:20,7,6,0.027862165120683607
2024-12-18,13:40:10,7,7,0.027123082590167675
2024-12-18,13:41:04,7,8,0.026046388813316078
2024-12-18,13:41:56,7,9,0.026112379991869186
2024-12-18,13:42:49,7,10,0.02524025349482182
2024-12-18,13:43:43,7,11,0.02474912066937846
2024-12-18,13:44:38,7,12,0.024159349129903678
2024-12-18,13:45:29,7,13,0.023962667648909006
2024-12-18,13:46:20,7,14,0.023314485685283038
2024-12-18,13:47:14,7,15,0.023515095020546592
2024-12-18,13:48:07,7,16,0.02270220881276104
2024-12-18,13:48:59,7,17,0.022697026584602938
2024-12-18,13:49:52,7,18,0.022140316548516562
2024-12-18,13:50:45,7,19,0.02249040711135598
2024-12-18,13:51:34,7,20,0.021931172047103927
