Date,Time,Fold,Epoch,Training Loss
2024-12-18,15:53:16,6,7,0.028889272031339758
2024-12-18,15:54:10,6,8,0.028588428913115884
2024-12-18,15:55:02,6,9,0.027658839874533953
2024-12-18,15:55:51,6,10,0.027529112738175383
2024-12-18,15:56:45,6,11,0.026477942766695135
2024-12-18,15:57:36,6,12,0.026587065007788215
2024-12-18,15:58:30,6,13,0.025516540316005278
2024-12-18,15:59:24,6,14,0.025285960217902893
2024-12-18,16:00:18,6,15,0.025222884541318224
2024-12-18,16:01:13,6,16,0.02485906184055911
2024-12-18,16:02:03,6,17,0.024707011369552577
2024-12-18,16:02:59,6,18,0.024282830013039623
2024-12-18,16:03:50,6,19,0.02403475433393584
2024-12-18,16:04:45,6,20,0.02383692934010881
2024-12-18,16:05:59,7,1,0.06845971936871983
2024-12-18,16:06:50,7,2,0.04357650700916788
2024-12-18,16:07:43,7,3,0.03603557296262662
2024-12-18,16:08:35,7,4,0.03406432898491133
2024-12-18,16:09:22,7,5,0.032470795130786115
2024-12-18,16:10:13,7,6,0.03129983479807497
2024-12-18,16:11:07,7,7,0.030076911836246816
2024-12-18,16:12:00,7,8,0.0290099758265819
2024-12-18,16:12:52,7,9,0.02888812276836619
2024-12-18,16:13:43,7,10,0.028586530109194368
2024-12-18,16:14:36,7,11,0.02815087547282075
2024-12-18,16:15:22,7,12,0.026966799688326524
2024-12-18,16:16:14,7,13,0.027253947858365976
2024-12-18,16:17:05,7,14,0.026534564579187046
2024-12-18,16:17:56,7,15,0.026246908942511138
2024-12-18,16:18:48,7,16,0.02585907548178944
2024-12-18,16:19:38,7,17,0.025382406751391178
2024-12-18,16:20:27,7,18,0.025192612477108817
2024-12-18,16:21:15,7,19,0.024655493989894063
2024-12-18,16:22:03,7,20,0.02447329541014038
